name,nationality,year,rating,roles
GuardiaN,Slovakia,2015,1.18,AWP
NiKo,Bosnia,2015,1.15,IGL|Pack Rifler|Anchor
device,Denmark,2015,1.14,AWP
oskar,Czechia,2015,1.14,AWP
s1mple,Ukraine,2015,1.13,AWP|Pack Rifler
kennyS,France,2015,1.13,AWP
olofmeister,Sweden,2015,1.11,Pack Rifler|Anchor
f0rest,Sweden,2015,1.11,Pack Rifler
rain,Norway,2015,1.11,IGL|Pack Rifler|Anchor
aizy,Denmark,2015,1.10,Pack Rifler
KRIMZ,Sweden,2015,1.10,Pack Rifler|Anchor
Happy,France,2015,1.10,Pack Rifler
SZPERO,Poland,2015,1.10,Anchor
WorldEdit,Russia,2015,1.09,AWP
coldzera,Brazil,2015,1.08,Anchor
flamie,Russia,2015,1.08,Anchor
nitr0,USA,2015,1.08,IGL|Pack Rifler|Anchor
flusha,Sweden,2015,1.07,Anchor
Skadoodle,USA,2015,1.07,AWP
jdm64,USA,2015,1.06,AWP
GeT_RiGhT,Sweden,2015,1.06,Anchor
dream3r,Bulgaria,2015,1.05,Anchor
dupreeh,Denmark,2015,1.05,Pack Rifler|Anchor
Snax,Poland,2015,1.05,IGL|Anchor
Xyp9x,Denmark,2015,1.04,Anchor
NBK-,France,2015,1.04,IGL|Anchor
MICHU,Poland,2015,1.04,Pack Rifler|Anchor
chrisJ,Netherlands,2015,1.04,IGL|AWP|Pack Rifler|Anchor
shox,France,2015,1.04,Pack Rifler
bondik,Ukraine,2015,1.04,Anchor
jkaem,Norway,2015,1.04,Anchor
dennis,Sweden,2015,1.03,Anchor
ScreaM,Belgium,2015,1.03,Pack Rifler
Hiko,USA,2015,1.03,Pack Rifler
allu,Finland,2015,1.02,AWP
seized,Russia,2015,1.02,Anchor
apEX,France,2015,1.02,IGL|Pack Rifler|Anchor
fer,Brazil,2015,1.02,Pack Rifler|Anchor
cajunb,Denmark,2015,1.01,Anchor
FalleN,Brazil,2015,1.01,IGL|AWP
fox,Portugal,2015,1.01,Anchor
JW,Sweden,2015,1.01,IGL|AWP
Kjaerbye,Denmark,2015,1.00,Pack Rifler|Anchor
Pimp,Denmark,2015,1.00,Anchor
shroud,Canada,2015,0.99,Pack Rifler
pashaBiceps,Poland,2015,0.99,Pack Rifler
byali,Poland,2015,0.99,Pack Rifler
n0thing,USA,2015,0.98,Pack Rifler|Anchor
karrigan,Denmark,2015,0.98,IGL
kioShiMa,France,2015,0.98,Pack Rifler
TENZKI,Denmark,2015,0.98,Anchor
nex,Germany,2015,0.98,Anchor
tarik,USA,2015,0.97,Pack Rifler|Anchor
markeloff,Ukraine,2015,0.97,AWP
adreN,USA,2015,0.97,Pack Rifler|Anchor
v1c7oR,Bulgaria,2015,0.97,Pack Rifler|Anchor
Xizt,Sweden,2015,0.97,IGL|Anchor
NEO,Poland,2015,0.96,Pack Rifler|Anchor
EliGE,USA,2015,0.96,Pack Rifler
Maikelele,Sweden,2015,0.96,Pack Rifler|Anchor
RpK,France,2015,0.96,Anchor
innocent,Poland,2015,0.95,Anchor
znajder,Sweden,2015,0.95,Anchor
FugLy,USA,2015,0.95,Anchor
ANGE1,Ukraine,2015,0.95,Anchor
Edward,Ukraine,2015,0.94,Anchor
reltuC,USA,2015,0.94,Anchor
Furlan,Poland,2015,0.94,Anchor
TaZ,Poland,2015,0.94,IGL|Anchor
hazed,USA,2015,0.94,Anchor
freakazoid,USA,2015,0.93,Pack Rifler|Anchor
spyleadeR,Bulgaria,2015,0.93,Pack Rifler|Anchor
bubble,Bulgaria,2015,0.92,Pack Rifler|Anchor
Zeus,Ukraine,2015,0.92,IGL
boltz,Brazil,2015,0.92,Pack Rifler|Anchor
DavCost,Russia,2015,0.92,Anchor
Ex6TenZ,Belgium,2015,0.90,Pack Rifler|Anchor
friberg,Sweden,2015,0.90,Pack Rifler|Anchor
STYKO,Slovakia,2015,0.90,IGL|Pack Rifler|Anchor
SmithZz,France,2015,0.89,Pack Rifler|Anchor
