name,nationality,year,rating,roles
GuardiaN,Slovakia,2015,1.18,
NiKo,Bosnia,2015,1.15,
device,Denmark,2015,1.14,
oskar,Czechia,2015,1.14,
s1mple,Ukraine,2015,1.13,
kennyS,France,2015,1.13,
olofmeister,Sweden,2015,1.11,
f0rest,Sweden,2015,1.11,
rain,Norway,2015,1.11,
aizy,Denmark,2015,1.10,
KRIMZ,Sweden,2015,1.10,
Happy,France,2015,1.10,
SZPERO,Poland,2015,1.10,
WorldEdit,Russia,2015,1.09,
coldzera,Brazil,2015,1.08,
flamie,Russia,2015,1.08,
nitr0,USA,2015,1.08,
flusha,Sweden,2015,1.07,
Skadoodle,USA,2015,1.07,
jdm64,USA,2015,1.06,
GeT_RiGhT,Sweden,2015,1.06,
dream3r,Bulgaria,2015,1.05,
dupreeh,Denmark,2015,1.05,
Snax,Poland,2015,1.05,
Xyp9x,Denmark,2015,1.04,
NBK-,France,2015,1.04,
MICHU,Poland,2015,1.04,
chrisJ,Netherlands,2015,1.04,
shox,France,2015,1.04,
bondik,Ukraine,2015,1.04,
jkaem,Norway,2015,1.04,
dennis,Sweden,2015,1.03,
ScreaM,Belgium,2015,1.03,
Hiko,USA,2015,1.03,
allu,Finland,2015,1.02,
seized,Russia,2015,1.02,
apEX,France,2015,1.02,
fer,Brazil,2015,1.02,
cajunb,Denmark,2015,1.01,
FalleN,Brazil,2015,1.01,
fox,Portugal,2015,1.01,
JW,Sweden,2015,1.01,
Kjaerbye,Denmark,2015,1.00,
Pimp,Denmark,2015,1.00,
shroud,Canada,2015,0.99,
pashaBiceps,Poland,2015,0.99,
byali,Poland,2015,0.99,
n0thing,USA,2015,0.98,
karrigan,Denmark,2015,0.98,
kioShiMa,France,2015,0.98,
TENZKI,Denmark,2015,0.98,
nex,Germany,2015,0.98,
tarik,USA,2015,0.97,
markeloff,Ukraine,2015,0.97,
adreN,USA,2015,0.97,
v1c7oR,Bulgaria,2015,0.97,
Xizt,Sweden,2015,0.97,
NEO,Poland,2015,0.96,
EliGE,USA,2015,0.96,
Maikelele,Sweden,2015,0.96,
RpK,France,2015,0.96,
innocent,Poland,2015,0.95,
znajder,Sweden,2015,0.95,
FugLy,USA,2015,0.95,
ANGE1,Ukraine,2015,0.95,
Edward,Ukraine,2015,0.94,
reltuC,USA,2015,0.94,
Furlan,Poland,2015,0.94,
TaZ,Poland,2015,0.94,
hazed,USA,2015,0.94,
freakazoid,USA,2015,0.93,
spyleadeR,Bulgaria,2015,0.93,
bubble,Bulgaria,2015,0.92,
Zeus,Ukraine,2015,0.92,
boltz,Brazil,2015,0.92,
DavCost,Russia,2015,0.92,
Ex6TenZ,Belgium,2015,0.90,
friberg,Sweden,2015,0.90,
STYKO,Slovakia,2015,0.90,
SmithZz,France,2015,0.89,
FNS,Canada,2015,0.89,
oskarish,Poland,2015,0.88,
steel,Brazil,2015,0.86,
